i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	-1	0	22	16	-1	-1	-1	-1	00/01/30	26
2	28	-1	-1	-1	-1	-1	-1	-1	00/03/00	27
3	-1	49	56	-1	-1	-1	-1	-1	00/07/00	27
4	72	-1	-1	-1	-1	-1	-1	-1	00/12/00	25
5	1	-1	-1	-1	-1	-1	-1	-1	00/15/00	24
6	7	-1	-1	-1	-1	-1	-1	-1	00/19/00	25
7	32	-1	-1	-1	-1	-1	-1	-1	00/22/00	25
8	-1	28	40	63	27	-1	-1	-1	00/25/00	25
9	9	-1	-1	-1	-1	-1	-1	-1	00/28/00	21
10	-1	-1	-1	-1	-1	-1	0	54	00/31/00	21
