i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	-1	10	15	20	25	-1	-1	-1	00/01/30	25
2	-1	18	21	8	3	-1	-1	-1	00/03/00	25
3	-1	21	72	63	18	-1	-1	-1	00/07/00	25
4	-1	14	6	8	48	-1	-1	-1	00/12/00	25
5	-1	27	48	45	-1	-1	-1	-1	00/15/00	25
6	-1	56	72	54	-1	-1	-1	-1	00/19/00	25
7	-1	6	1	12	-1	-1	-1	-1	00/22/00	15
8	-1	10	8	2	18	24	-1	-1	00/25/00	25
9	-1	63	54	27	-1	-1	-1	-1	00/28/00	25
10	-1	9	8	7	42	27	-1	-1	00/31/00	23
