i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	5	-1	-1	-1	-1	-1	-1	-1	00/01/30	36
2	7	-1	-1	-1	-1	-1	-1	-1	00/07/00	34
3	3	-1	-1	-1	-1	-1	-1	-1	00/12/00	34
4	11	-1	-1	-1	-1	-1	-1	-1	00/18/00	39
5	-1	-1	-1	-1	-1	-1	1	5	00/24/00	32
6	-1	-1	-1	-1	-1	-1	2	10	00/27/00	33
7	1	-1	-1	-1	-1	-1	-1	-1	00/32/00	36
8	4	-1	-1	-1	-1	-1	-1	-1	00/36/00	31
9	8	-1	-1	-1	-1	-1	-1	-1	00/40/00	31
10	-1	-1	-1	-1	-1	-1	9	12	00/45/00	39
