i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	9	-1	-1	-1	-1	-1	-1	-1	00/01/30	23
2	-1	-1	-1	-1	-1	-1	0	5	00/04/00	23
3	-1	72	36	-1	-1	-1	-1	-1	00/07/30	23
4	48	-1	-1	-1	-1	-1	-1	-1	00/11/00	23
5	11	-1	-1	-1	-1	-1	-1	-1	00/15/00	23
6	-1	23	22	26	-1	-1	-1	-1	00/19/00	22
7	55	-1	-1	-1	-1	-1	-1	-1	00/23/00	22
8	-1	77	14	-1	-1	-1	-1	-1	00/26/00	22
9	64	-1	-1	-1	-1	-1	-1	-1	00/29/00	22
10	-1	81	72	63	45	-1	-1	-1	00/30/00	22
