i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	-1	-1	-1	-1	-1	-1	1	9	00/01/30	17
2	-1	-1	-1	-1	-1	-1	1	9	00/04/00	17
3	-1	-1	-1	-1	-1	-1	0	9	00/07/30	17
4	-1	-1	-1	-1	-1	-1	0	10	00/11/00	17
5	-1	-1	-1	-1	-1	-1	1	81	00/15/00	17
6	-1	28	35	77	17	-1	-1	-1	00/19/00	21
7	-1	11	22	33	44	-1	-1	-1	00/23/00	21
8	-1	15	23	16	51	-1	-1	-1	00/26/00	21
9	-1	21	31	31	-1	-1	-1	-1	00/29/00	21
10	-1	36	23	62	80	-1	-1	-1	00/30/00	20
