i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	3	1	2	3	0	0	0	0	0/1/00	10
2	-1	-1	-1	-1	-1	-1	10	20	0/4/00	5
3	2	0	0	0	0	0	0	0	0/10/00	10
4	8	0	0	0	0	0	0	0	0/12/00	5
5	0	0	0	0	0	0	0	0	0/20/00	10
6	0	0	0	0	0	0	0	0	0/25/00	10
7	23	0	0	0	0	0	0	0	0/30/00	10
8	12	0	0	0	0	0	0	0	0/35/00	10
9	15	0	0	0	0	0	0	0	0/40/00	10
10	0	1	3	4	5	11	0	0	0/45/00	10
11	19	0	0	0	0	0	0	0	0/50/00	10
12	24	0	0	0	0	0	0	0	0/55/00	10
13	0	43	25	77	0	0	0	0	1/00/00	10
14	30	0	0	0	0	0	0	0	1/5/00	10
15	20	0	0	0	0	0	0	0	1/10/00	10
16	0	0	0	0	0	0	1	9	1/15/00	10
17	37	0	0	0	0	0	0	0	1/20/00	10
18	53	0	0	0	0	0	0	0	1/25/00	10
19	27	0	0	0	0	0	0	0	1/30/00	10
20	24	0	0	0	0	0	0	0	1/35/00	10
21	0	0	0	0	0	0	35	48	1/40/00	10
22	9	0	0	0	0	0	0	0	1/45/00	10
23	50	0	0	0	0	0	0	0	1/50/00	10
24	60	0	0	0	0	0	0	0	1/55/00	10
25	81	0	0	0	0	0	0	0	2/00/00	10
