i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	1	-1	-1	-1	-1	-1	-1	-1	00/01/30	30
2	-1	-1	-1	-1	-1	-1	2	6	00/06/00	30
3	10	-1	-1	-1	-1	-1	-1	-1	00/11/00	35
4	32	-1	-1	-1	-1	-1	-1	-1	00/17/00	28
5	8	-1	-1	-1	-1	-1	-1	-1	00/21/00	34
6	25	-1	-1	-1	-1	-1	-1	-1	00/23/00	34
7	-1	2	10	15	20	-1	-1	-1	00/25/00	34
8	-1	-1	-1	-1	-1	-1	1	10	00/28/00	34
9	40	-1	-1	-1	-1	-1	-1	-1	00/34/00	25
10	-1	9	10	13	-1	-1	-1	-1	00/39/00	25
11	-1	-1	-1	-1	-1	-1	10	30	00/45/00	23
12	0	-1	-1	-1	-1	-1	-1	-1	00/50/00	22
