i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	-1	-1	-1	-1	-1	-1	1	9	00/01/30	11
2	-1	-1	-1	-1	-1	-1	10	20	00/05/00	11
3	-1	15	25	11	-1	-1	-1	-1	00/10/00	10
4	-1	9	7	3	-1	-1	-1	-1	00/14/30	11
5	-1	0	1	4	-1	-1	-1	-1	00/15/30	11
6	14	-1	-1	-1	-1	-1	-1	-1	00/20/00	9
7	-1	-1	-1	-1	-1	-1	0	9	00/25/00	8
8	8	-1	-1	-1	-1	-1	-1	-1	00/29/00	23
9	-1	12	17	18	-1	-1	-1	-1	00/30/00	23
10	-1	28	35	15	-1	-1	-1	-1	00/31/00	23
11	-1	48	64	8	-1	-1	-1	-1	00/32/00	23
12	-1	-1	-1	-1	-1	-1	0	9	00/33/00	23
13	-1	-1	-1	-1	-1	-1	0	9	00/34/00	23
14	-1	81	72	61	44	-1	-1	-1	00/47/00	10
15	-1	-1	-1	-1	-1	-1	0	9	00/50/00	6
16	-1	-1	-1	-1	-1	-1	0	9	00/52/00	7
17	-1	-1	-1	-1	-1	-1	0	81	00/53/00	19
18	-1	-1	-1	-1	-1	-1	0	81	00/53/30	19
19	-1	-1	-1	-1	-1	-1	0	81	00/54/00	19
20	-1	1	9	11	22	81	-1	-1	01/00/00	4
