i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	-1	-1	-1	-1	-1	-1	1	5	00/01/30	14
2	-1	-1	-1	-1	-1	-1	0	8	00/05/00	14
3	-1	-1	-1	-1	-1	-1	0	9	00/10/00	14
4	-1	-1	-1	-1	-1	-1	15	76	00/14/30	14
5	-1	15	8	2	-1	-1	-1	-1	00/19/00	14
6	-1	20	75	15	-1	-1	-1	-1	00/24/30	13
7	7	-1	-1	-1	-1	-1	-1	-1	00/29/30	13
8	1	-1	-1	-1	-1	-1	-1	-1	00/33/00	13
9	-1	28	12	63	2	-1	-1	-1	00/38/00	13
10	-1	19	29	39	49	-1	-1	-1	00/43/00	12
