i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	-1	54	63	-1	-1	-1	-1	-1	00/01/30	18
2	-1	1	5	7	9	-1	-1	-1	00/04/00	18
3	-1	30	35	40	-1	-1	-1	-1	00/08/00	18
4	-1	72	64	-1	-1	-1	-1	-1	00/12/00	18
5	81	-1	-1	-1	-1	-1	-1	-1	00/16/00	18
6	-1	80	30	70	-1	-1	-1	-1	00/20/00	18
7	-1	11	18	34	-1	-1	-1	-1	00/23/00	17
8	-1	6	12	-1	-1	-1	-1	-1	00/26/00	17
9	-1	0	1	-1	-1	-1	-1	-1	00/29/00	16
10	-1	76	65	51	-1	-1	-1	-1	00/32/00	15
