i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	18	-1	-1	-1	-1	-1	-1	-1	00/01/30	18
2	14	-1	-1	-1	-1	-1	-1	-1	00/04/00	18
3	16	-1	-1	-1	-1	-1	-1	-1	00/08/00	18
4	30	-1	-1	-1	-1	-1	-1	-1	00/12/00	18
5	-1	15	5	9	-1	-1	-1	-1	00/16/00	18
6	-1	72	63	54	45	-1	-1	-1	00/20/00	18
7	-1	12	15	66	-1	-1	-1	-1	00/23/00	17
8	-1	11	0	7	9	27	-1	-1	00/26/00	17
9	5	-1	-1	-1	-1	-1	-1	-1	00/29/00	16
10	-1	28	40	48	27	63	-1	-1	00/32/00	16
