i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	9	-1	-1	-1	-1	-1	-1	-1	00/01/30	25
2	18	-1	-1	-1	-1	-1	-1	-1	00/04/00	25
3	35	-1	-1	-1	-1	-1	-1	-1	00/07/30	25
4	-1	2	1	3	5	6	-1	-1	00/11/00	25
5	40	-1	-1	-1	-1	-1	-1	-1	00/15/00	25
6	-1	1	2	3	4	8	-1	-1	00/19/00	25
7	56	-1	-1	-1	-1	-1	-1	-1	00/23/00	15
8	0	-1	-1	-1	-1	-1	-1	-1	00/26/00	25
9	24	-1	-1	-1	-1	-1	-1	-1	00/29/00	25
10	22	-1	-1	-1	-1	-1	-1	-1	00/30/00	25
